FID_;EXIF_GPSIm;Line;lat1;long1;id;x1;y1;x2;y2;angle;BubID;Distance
;13.1999998;100;-73.598813333300001;45.471561666699998;6797;643.878620920000000;902.193846927999970;666.694600383999950;999.515115475000020;0;T2B8;99.959983146100001
;49.0999985;100;-73.598813333300001;45.471561666699998;6800;643.878620920000000;902.193846927999970;719.427014510000050;967.649469082000000;0;T2B8;99.959983221000002
;102.9000015;100;-73.598813333300001;45.471561666699998;6802;643.878620921999980;902.193846931000050;729.819420564999970;882.395429312000030;0;T2B8;88.191827192800005
;28.2000008;100;-73.598813333300001;45.471561666699998;6803;643.878620920000000;902.193846927999970;691.105764027999950;990.293762880000030;0;T2B8;99.959983177400005
;184.6000061;100;-73.598813333300001;45.471561666699998;6804;643.878620921999980;902.193846931000050;643.318047719999980;895.217595021999950;0;T2B8;6.998737958740000
;214.5000000;100;-73.598813333300001;45.471561666699998;6808;643.878620921999980;902.193846931000050;639.910991712000050;896.419591463999950;0;T2B8;7.006005119570000
;268.1000061;100;-73.598813333300001;45.471561666699998;6809;643.878620921999980;902.193846931000050;636.860751525999940;901.960269345000030;0;T2B8;7.021755432030000
;309.7000122;100;-73.598813333300001;45.471561666699998;6811;643.878620921999980;902.193846931000050;599.049266796999970;940.954690581000020;0;T2B8;59.262753831900000
;3.9000001;100;-73.598813333300001;45.471561666699998;6812;643.878620921999980;902.193846931000050;646.564338744999990;944.713359848999970;30;T2B8;42.604249307000003
;52.5000000;100;-73.598813333300001;45.471561666699998;6813;643.878620921999980;902.193846931000050;697.435991463000050;944.097759604999960;30;T2B8;68.002425227200007
;102.6999969;100;-73.598813333300001;45.471561666699998;6815;643.878620921999980;902.193846931000050;650.727659736999950;900.651035019999990;30;T2B8;7.020655331790000
;144.1999969;100;-73.598813333300001;45.471561666699998;6816;643.878620921999980;902.193846931000050;647.977684389000050;896.511530825000020;30;T2B8;7.006499670560000
;180.3999939;100;-73.598813333300001;45.471561666699998;6818;643.878620921999980;902.193846931000050;643.830479952000020;895.195421865999950;30;T2B8;6.998590639230000
;221.8999939;100;-73.598813333300001;45.471561666699998;6819;643.878620921999980;902.193846931000050;639.198406771000010;896.976534775000000;30;T2B8;7.008905094410000
;266.6000061;100;-73.598813333300001;45.471561666699998;6820;643.878620921999980;902.193846931000050;636.869326889000040;901.776646385000050;30;T2B8;7.021699162470000
;308.2999878;100;-73.598813333300001;45.471561666699998;6821;643.878620921999980;902.193846931000050;594.930046662000000;939.810005152000030;30;T2B8;61.732797452600003
;6.4000001;100;-73.598813333300001;45.471561666699998;6822;643.878620921999980;902.193846931000050;644.658070630999990;909.149177239999970;60;T2B8;6.998868591160000
;55.2000008;100;-73.598813333300001;45.471561666699998;6823;643.878620921999980;902.193846931000050;649.637938809000050;906.197500037000050;60;T2B8;7.014198508670000
;97.6999969;100;-73.598813333300001;45.471561666699998;6824;643.878620921999980;902.193846931000050;650.836763155999960;901.253743419999980;60;T2B8;7.021362970270000
;140.5000000;100;-73.598813333300001;45.471561666699998;6825;643.878620921999980;902.193846931000050;648.336750806000050;896.786779472000030;60;T2B8;7.007945531360000
;184.3000031;100;-73.598813333300001;45.471561666699998;6826;643.878620921999980;902.193846931000050;643.354584303000020;895.214774144999980;60;T2B8;6.998719263690000
;219.5000000;100;-73.598813333300001;45.471561666699998;6827;643.878620921999980;902.193846931000050;639.421598905999990;896.785866222999970;60;T2B8;7.007945532260000
;268.2000122;100;-73.598813333300001;45.471561666699998;6828;643.878620921999980;902.193846931000050;636.860351902000050;901.972518848000050;60;T2B8;7.021758053240000
;311.2000122;100;-73.598813333300001;45.471561666699998;6829;643.878620921999980;902.193846931000050;638.602425635000030;906.811802089000030;60;T2B8;7.011686426460000
