FID_;EXIF_GPSIm;lat1;long1;Line;id;x1;y1;x2;y2;angle;BubID;Distance
;4.5000000;-73.597606666700003;45.472293333300001;100;6073;738.061017167000050;984.506155408000040;994.475420855000040;994.475420855000040;0;9;9.999999998190001
;64.9000015;-73.597606666700003;45.472293333300001;100;6074;738.061017167000050;984.506155408000040;1010.664156350000000;1010.664156350000000;0;9;61.868083299500000
;100.8000031;-73.597606666700003;45.472293333300001;100;6076;738.061017167000050;984.506155408000040;976.957864081000030;976.957864081000030;0;9;45.811899905899999
;150.8000031;-73.597606666700003;45.472293333300001;100;6077;738.061017167000050;984.506155408000040;936.244113456000040;936.244113456000040;0;9;54.742756983100001
;190.6999969;-73.597606666700003;45.472293333300001;100;6078;738.061017167000050;984.506155408000040;974.679809274000040;974.679809274000040;0;9;10.000000003600000
;232.0000000;-73.597606666700003;45.472293333300001;100;6079;738.061017167000050;984.506155408000040;978.348614882999980;978.348614882999980;0;9;9.999999998990001
;273.2999878;-73.597606666700003;45.472293333300001;100;6080;738.061017167000050;984.506155408000040;985.080620617000020;985.080620617000020;0;9;9.999999997100000
;317.2999878;-73.597606666700003;45.472293333300001;100;6081;738.061017167000050;984.506155408000040;991.854503105000050;991.854503105000050;0;9;9.999999998890001
;2.3000000;-73.597606666700003;45.472293333300001;100;6082;738.061017167000050;984.506155408000040;994.498146439000040;994.498146439000040;30;9;9.999999998250001
;62.2999992;-73.597606666700003;45.472293333300001;100;6083;738.061017167000050;984.506155408000040;1015.558093290000000;1015.558093290000000;30;9;65.487762815599993
;109.8000031;-73.597606666700003;45.472293333300001;100;6084;738.061017167000050;984.506155408000040;969.347554423000020;969.347554423000020;30;9;44.764835332399997
;78.1999969;-73.597606666700003;45.472293333300001;100;6085;738.061017167000050;984.506155408000040;996.263942327000000;996.263942327000000;30;9;52.726390513100000
;191.1999969;-73.597606666700003;45.472293333300001;100;6086;738.061017167000050;984.506155408000040;974.696375620000030;974.696375620000030;30;9;9.999999998100000
;230.0000000;-73.597606666700003;45.472293333300001;100;6087;738.061017167000050;984.506155408000040;978.077379350000000;978.077379350000000;30;9;9.999999999740000
;271.0000000;-73.597606666700003;45.472293333300001;100;6088;738.061017167000050;984.506155408000040;984.679504772999960;984.679504772999960;30;9;9.999999997650001
;313.8999939;-73.597606666700003;45.472293333300001;100;6089;738.061017167000050;984.506155408000040;991.439326308999970;991.439326308999970;30;9;9.999999996180000
;26.8999996;-73.597606666700003;45.472293333300001;100;6090;738.061017167000050;984.506155408000040;993.424662230999960;993.424662230999960;60;9;10.000000001100000
;55.5000000;-73.597606666700003;45.472293333300001;100;6091;738.061017167000050;984.506155408000040;990.171185984999970;990.171185984999970;60;9;10.000000000100000
;104.3000031;-73.597606666700003;45.472293333300001;100;6092;738.061017167000050;984.506155408000040;982.037303252000020;982.037303252000020;60;9;10.000000003000000
;146.8999939;-73.597606666700003;45.472293333300001;100;6093;738.061017167000050;984.506155408000040;976.129610477000030;976.129610477000030;60;9;10.000000003300000
;191.0000000;-73.597606666700003;45.472293333300001;100;6094;738.061017167000050;984.506155408000040;974.689659464999980;974.689659464999980;60;9;10.000000000200000
;236.1000061;-73.597606666700003;45.472293333300001;100;6095;738.061017167000050;984.506155408000040;978.927730078999960;978.927730078999960;60;9;9.999999999140000
;226.6999969;-73.597606666700003;45.472293333300001;100;6096;738.061017167000050;984.506155408000040;977.647116496999960;977.647116496999960;60;9;10.000000000000000
;321.8999939;-73.597606666700003;45.472293333300001;100;6097;738.061017167000050;984.506155408000040;992.374779967999980;992.374779967999980;60;9;9.999999996730001
